id,sku,name,description,vendor,price,Tags,status,main_image,brand,category,collection
123,ABJ-252,Ocean Blue Shirt,Ocean blue cotton shirt with a narrow collar and buttons down the front and long sleeves. Comfortable fit and tiled kalidoscope patterns.,partners-demo,49.99,men,draft,https://burst.shopifycdn.com/photos/young-man-in-bright-fashion_925x.jpg,Cool Brand,Mens,Top Picks
143,ADI-42,Classic Varsity Top,"Womens casual varsity top, This grey and black buttoned top is a sport-inspired piece complete with an embroidered letter. ",partners-demo,13.99,women,draft,https://burst.shopifycdn.com/photos/casual-fashion-woman_925x.jpg,Cool Brand,Mens,Top Picks
350,ADI-47,Yellow Wool Jumper,Ultra-stylish black and red striped silk blouse with buckle collar and matching button pants.,partners-demo,59.99,women,draft,https://burst.shopifycdn.com/photos/striped-blouse-fashion_925x.jpg,Cool Brand,Mens,Top Picks
986,ADI-48,Floral White Top,"Womans zipped leather jacket. Adjustable belt for a comfortable fit, complete with shoulder pads and front zip pocket. ",partners-demo,23.99,women,draft,https://burst.shopifycdn.com/photos/leather-jacket-and-tea_925x.jpg,Cool Brand,Mens,Top Picks
664,ADI-49,Striped Silk Blouse,"Classic dark denim top with chest pockets, long sleeves with buttoned cuffs, and a ripped hem effect.",partners-demo,20.01,women,draft,https://burst.shopifycdn.com/photos/young-female-models-denim_925x.jpg,Cool Brand,Mens,Top Picks
634,ADI-50,Classic Leather Jacket,"Long-sleeved navy waterproof jacket in thin, polyester fabric with a soft mesh inside. The durable water-repellent finish means you'll be kept comfortable and protected when out in all weathers.",partners-demo,39.99,men,draft,https://burst.shopifycdn.com/photos/mens-fall-fashion-jacket_925x.jpg,Cool Brand,Mens,New Arrival
223,ADI-51,Dark Denim Top,"Thick black winter jacket, with soft fleece lining. Perfect for those cold weather days.",partners-demo,49.99,women,draft,https://burst.shopifycdn.com/photos/smiling-woman-on-snowy-afternoon_925x.jpg,Cool Brand,Mens,New Arrival
334,ADI-52,Navy Sports Jacket,"Womens black leather bag, with ample space. Can be worn over the shoulder, or remove straps to carry in your hand. ",partners-demo,13.99,women,draft,https://burst.shopifycdn.com/photos/black-bag-over-the-shoulder_925x.jpg,Cool Brand,Mens,New Arrival
534,ADI-53,Soft Winter Jacket,Dark navy and light blue men's zipped waterproof jacket with an outer zipped chestpocket for easy storeage.,partners-demo,59.99,men,draft,https://burst.shopifycdn.com/photos/menswear-blue-zip-up-jacket_925x.jpg,Cool Brand,Mens,New Arrival
648,ADI-54,Black Leather Bag,Silk womens top with short sleeves and number pattern.,partners-demo,23.99,women,draft,https://burst.shopifycdn.com/photos/young-hip-woman-at-carnival_925x.jpg,New Brand,Womens,New Arrival
856,ADI-55,Zipped Jacket,"Black cotton womens top, with long sleeves, no collar and a thick hem. ",partners-demo,20.01,women,draft,https://burst.shopifycdn.com/photos/woman-outside-brownstone_925x.jpg,New Brand,Womens,New Arrival
875,ADI-56,Silk Summer Top,"Classic mens plaid flannel shirt with long sleeves, in chequered style, with two chest pockets.",partners-demo,39.99,men,draft,https://burst.shopifycdn.com/photos/red-plaid-shirt_925x.jpg,New Brand,Womens,New Arrival
899,ADI-57,Long Sleeve Cotton Top,Plain white cotton long sleeved shirt with loose collar. Small buttons and front pocket.,partners-demo,49.99,women,draft,https://burst.shopifycdn.com/photos/smiling-woman-poses_925x.jpg,New Brand,Womens,New Arrival
753,ADI-58,Chequered Red Shirt,Loose fitting olive green jacket with buttons and large pockets. Multicoloured pattern on the front of the shoulders.,partners-demo,13.99,women,draft,https://burst.shopifycdn.com/photos/urban-fashion_925x.jpg,New Brand,Womens,New Arrival
975,ADI-59,White Cotton Shirt,Blue silk tuxedo with marbled aquatic pattern and dark lining. Sleeves are complete with rounded hem and black buttons.,partners-demo,59.99,men,draft,https://burst.shopifycdn.com/photos/man-adjusts-blue-tuxedo-bowtie_925x.jpg,New Brand,Womens,New Arrival
966,ADI-60,Olive Green Jacket,Women's red sporty t-shirt with colorful details on the sleeves and a small white pocket.,partners-demo,23.99,women,draft,https://burst.shopifycdn.com/photos/womens-red-t-shirt_925x.jpg,New Brand,Womens,Sale
669,ADI-61,Blue Silk Tuxedo,Black cotton top with matching striped skirt.,partners-demo,20.01,women,draft,https://burst.shopifycdn.com/photos/woman-in-the-city_925x.jpg,New Brand,Womens,Sale
100,ADI-62,Red Sports Tee,"Black high top shoes with green LED lights in the sole, tied up with laces and a buckle. ",partners-demo,39.99,men,draft,https://burst.shopifycdn.com/photos/putting-on-your-shoes_925x.jpg,LED Bran,Womens,Sale
